Altium Designer Pick and Place Locations
D:\VM_Share\Myprojects\A002 AMP0480-27\Altium\Project Outputs for A002.001.00 - AMP0180-27v1.0\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       23/11/24
Time:       15:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Layer"
"C1","C0603_P","17.4250","18.0750","17.4250","18.0750","17.4250","17.4250","90","TopLayer"
"C2","C0603_P","24.5000","19.2000","24.5000","19.2000","24.5000","19.8500","270","TopLayer"
"C3","C0402_P","24.1794","16.9000","24.1794","16.9000","24.6294","16.9000","180","TopLayer"
"C4","C0402_P","13.7992","7.3250","13.7992","7.3250","13.3492","7.3250","0","TopLayer"
"C5","C0603_P","20.2500","13.8000","20.2500","13.8000","19.6000","13.8000","0","TopLayer"
"C6","C0402_P","15.0250","7.7750","15.0250","7.7750","15.0250","8.2250","270","TopLayer"
"C7","C0402_P","22.1731","13.2041","22.1731","13.2041","21.7231","13.2041","0","TopLayer"
"C8","C0402_P","22.1731","12.3791","22.1731","12.3791","22.6231","12.3791","180","TopLayer"
"C10","C0402_P","22.2758","7.3250","22.2758","7.3250","21.8258","7.3250","0","TopLayer"
"C11","C0402_P","11.0038","8.7326","11.0038","8.7326","10.6856","8.4144","45","TopLayer"
"D1","CP-8-5_P","20.4500","19.5750","20.4500","19.5750","21.9000","18.8250","180","TopLayer"
"D2","QFN12_3X3mm","17.4750","7.3250","17.4750","7.3250","16.1500","7.8250","0","TopLayer"
"J1","SMA8400B","6.3000","9.9000","6.3000","9.9000","6.3000","9.9000","180","BottomLayer"
"J2","SMA8400B","30.3000","9.9000","30.3000","9.9000","30.3000","9.9000","180","BottomLayer"
"L1","BLM15_P","15.7000","17.9039","15.7000","17.9040","16.1500","17.9039","180","TopLayer"
"L3","BLM15_P","22.3715","16.9001","22.3715","16.9000","21.9215","16.9001","0","TopLayer"
"L4","IND_WIRE_5020_P","19.6500","11.4500","19.6500","11.4500","19.6500","13.2500","270","BottomLayer"
"L5","BLM15_P","20.9000","9.5250","20.9000","9.5250","20.9000","9.0750","90","TopLayer"
"L6","BLM15_P","20.9000","7.7750","20.9000","7.7750","20.9000","7.3250","90","TopLayer"
"R1","R0402_P","23.2000","19.0000","23.2000","19.0000","23.2000","19.4500","270","TopLayer"
"R2","R0402_P","23.8000","20.8000","23.8000","20.8000","24.2500","20.8000","180","TopLayer"
"R3","R0402_P","18.4124","9.8250","18.4124","9.8250","18.8624","9.8250","180","TopLayer"
"R4","R0402_P","16.5250","9.8250","16.5250","9.8250","16.0750","9.8250","0","TopLayer"
"R5","R0402_P","16.5250","10.6500","16.5250","10.6500","16.9750","10.6500","180","TopLayer"
"R6","R0603_P","20.1250","11.7250","20.1250","11.7250","20.1250","12.4000","270","TopLayer"
"XP1","B2B-EH-A","15.5500","20.3000","14.3000","20.3000","14.3000","20.3000","90","BottomLayer"
